T1,P1,T2,P2,T3,P3,T4,P4,Wc,Wt,W_net,power_net,Qin,thermal_efficiency,exergy_destruction_compressor,exergy_destruction_turbine,exergy_destruction_compressor_specific,exergy_destruction_turbine_specific,exergy_rate_destruction_total,exergy_specific_destruction_total,second_law_efficiency,entropy_generation_compressor,entropy_generation_turbine,pressure_ratio
298.15,100000.0,363.4489210010643,200000.0,1400.0,190000.0,1165.4245159312215,100000.0,65625.41560606967,235748.36148912236,170122.9458830527,1701229.4588305268,1041733.8343939304,0.16330749781399623,297.06307738268833,0.0,29.706307738268833,0.0,297.06307738268833,29.706307738268833,0.20784590630872246,0.09902102579422944,0.0,2.0
298.15,100000.0,408.0892664953723,300000.0,1400.0,285000.0,1037.9402684637712,100000.0,110488.96282784922,363870.03019390994,253381.06736606074,2533810.6736606075,996870.2871721508,0.2541765670284283,470.8338380003738,0.0,47.08338380003738,0.0,470.8338380003738,47.08338380003738,0.3234974489452724,0.15694461266679127,0.0,3.0
298.15,100000.0,443.0491973061811,400000.0,1400.0,380000.0,956.0389351764678,100000.0,145623.69329271204,446180.87014764984,300557.1768549378,3005571.768549378,961735.556707288,0.31251540484159807,594.1261547652061,0.0,59.412615476520614,0.0,594.1261547652061,59.412615476520614,0.39774687888930665,0.19804205158840205,0.0,4.0
298.15,100000.0,472.21581635375543,500000.0,1400.0,475000.0,896.9887669032997,100000.0,174936.14543552423,505526.28926218377,330590.14382665954,3305901.4382665954,932423.1045644758,0.35454949819274845,689.7591053285055,0.0,68.97591053285055,0.0,689.7591053285055,68.97591053285055,0.45124481588167986,0.2299197017761685,0.0,5.0
298.15,100000.0,497.4663879921478,600000.0,1400.0,570000.0,851.4590996448909,100000.0,200312.96993210856,551283.6048568847,350970.63492477615,3509706.3492477615,907046.2800678915,0.3869379574529608,767.8969153830622,0.0,76.78969153830622,0.0,767.8969153830622,76.78969153830622,0.49246649130376824,0.2559656384610207,0.0,6.0
298.15,100000.0,519.8659780674882,700000.0,1400.0,665000.0,814.7720772148755,100000.0,222824.55795782566,588154.0623990501,365329.50444122445,3653295.0444122446,884534.6920421744,0.4130188535599072,833.9614924523175,0.0,83.39614924523175,0.0,833.9614924523175,83.39614924523175,0.5256603590762455,0.2779871641507725,0.0,7.0
298.15,100000.0,540.0830210005674,800000.0,1400.0,760000.0,784.2725402451508,100000.0,243142.6861055703,618806.0970536234,375663.4109480531,3756634.109480531,864216.5638944297,0.43468665915774224,891.1892321482355,0.0,89.11892321482355,0.0,891.1892321482355,89.11892321482355,0.5532375662007628,0.2970630773827452,0.0,8.0
298.15,100000.0,558.5673299638808,900000.0,1400.0,855000.0,758.3191140999601,100000.0,261719.4166137002,644889.2903295401,383169.87371583993,3831698.737158399,845639.8333862999,0.45311237549142586,941.6676760007476,0.0,94.16676760007476,0.0,941.6676760007476,94.16676760007476,0.5766884778981783,0.31388922533358254,0.0,9.0
298.15,100000.0,575.637527866541,1000000.0,1400.0,950000.0,735.8315994324707,100000.0,278874.96550587367,667489.242570367,388614.2770644933,3886142.770644933,828484.2844941263,0.4690665644934734,986.8221827111938,0.0,98.68221827111938,0.0,986.8221827111938,98.68221827111938,0.5969938093553298,0.32894072757039794,0.0,10.0
298.15,100000.0,591.5283733005368,1100000.0,1400.0,1045000.0,716.0641854929021,100000.0,294845.2651670395,687355.4935796334,392510.2284125939,3925102.284125939,812513.9848329605,0.4830811970495345,1027.6694026275663,0.0,102.76694026275663,0.0,1027.6694026275663,102.76694026275663,0.6148306144266803,0.3425564675425221,0.0,11.0
298.15,100000.0,606.4183194702096,1200000.0,1400.0,1140000.0,698.4820036331345,100000.0,309809.6610675606,705025.5863486999,395215.92528113927,3952159.252811393,797549.5889324395,0.4955377455716024,1064.959992765921,0.0,106.4959992765921,0.0,1064.959992765921,106.4959992765921,0.6306844034547667,0.354986664255307,0.0,12.0
