case,objective,pressure_ratio,net_power_kW,thermal_efficiency_percent,second_law_efficiency_percent
ideal_cycle,max_net_power,15.0,3984.5261560685385,52.6059695109431,66.95305210483667
ideal_cycle,max_thermal_efficiency,50.0,3234.6018992625773,65.91335097362906,83.88971942098247
ideal_cycle,max_second_law_efficiency,50.0,3234.6018992625773,65.91335097362906,83.88971942098247
real_cycle,max_net_power,10.0,2726.521236005378,34.98809839665472,44.53030705028783
real_cycle,max_thermal_efficiency,23.0,2307.3938855410665,38.68816553055137,49.23948340251993
real_cycle,max_second_law_efficiency,23.0,2307.3938855410665,38.68816553055137,49.23948340251993
