T1,P1,T2,T2s,P2,T3,P3,T4,T4s,P4,Wc,Wt,W_net,power_net,Qin,thermal_efficiency,exergy_destruction_compressor,exergy_destruction_turbine,exergy_destruction_compressor_specific,exergy_destruction_turbine_specific,exergy_rate_destruction_total,exergy_specific_destruction_total,second_law_efficiency,entropy_generation_compressor,entropy_generation_turbine,pressure_ratio
298.15,100000.0,837.1885435343206,756.3327620041725,2600000.0,1400.0,2470000.0,644.0308627261978,560.0342919179976,100000.0,541733.7362519923,759748.9829601712,218015.2467081789,2180152.467081789,565625.5137480078,0.3854409700572789,307623.44155898836,419967.77828320867,30762.344155898834,41996.77782832087,727591.219842197,72759.1219842197,0.490561234618355,102.54114718632945,139.98925942773622,26.0
298.15,100000.0,846.8351642905318,764.532389646952,2700000.0,1400.0,2565000.0,638.6251200123644,554.0279111248493,100000.0,551428.5901119845,765181.7543875738,213753.16427558928,2137531.642755893,555930.6598880156,0.38449608862847545,309671.14535346616,427048.66657357,30967.114535346616,42704.866657357,736719.8119270361,73671.98119270362,0.48935865825442326,103.22371511782205,142.34955552452334,27.0
298.15,100000.0,856.2298523822134,772.5178745248813,2800000.0,1400.0,2660000.0,633.4708530537347,548.300947837483,100000.0,560870.2516441245,770361.7926809966,209491.54103687208,2094915.4103687208,546488.9983558756,0.38334082052361906,311622.4798918851,433928.77503789385,31162.24798918851,43392.87750378939,745551.2549297789,74555.12549297788,0.48788831703006064,103.87415996396169,144.64292501263128,28.0
298.15,100000.0,865.3878436822912,780.3021671299475,2900000.0,1400.0,2755000.0,628.5479889710027,542.8310988566698,100000.0,570074.0329007027,775309.2710841423,205235.2381834396,2052352.381834396,537285.2170992973,0.38198564124184614,313485.2015745422,440620.5489518129,31348.520157454222,44062.05489518129,754105.7505263551,75410.57505263551,0.4861635433987132,104.49506719151407,146.87351631727097,29.0
298.15,100000.0,874.3229647108785,787.8970200042468,3000000.0,1400.0,2850000.0,623.8386805156293,537.5985339062548,100000.0,579053.829534433,780042.1260817925,200988.29654735955,2009882.9654735955,528305.420465567,0.3804395880894794,315266.20114819024,447135.26714559796,31526.620114819023,44713.5267145598,762401.4682937881,76240.14682937882,0.4841958393866102,105.08873371606342,149.04508904853265,30.0
298.15,100000.0,883.047805174684,795.3131343984813,3100000.0,1400.0,2945000.0,619.3269946803724,532.5855496448582,100000.0,587822.2942005574,784576.3703462257,196754.07614566828,1967540.7614566828,519536.9557994426,0.3787104535093389,316971.62547936593,453483.1860336593,31697.162547936594,45348.31860336593,770454.8115130253,77045.48115130253,0.48199512264824956,105.65720849312197,151.16106201121977,31.0
298.15,100000.0,891.5738645490279,802.5602848666737,3200000.0,1400.0,3040000.0,614.9986533464971,527.7762814961079,100000.0,596390.9838717731,788926.3533867704,192535.36951499723,1925353.6951499723,510968.26612822694,0.37680494519532587,318606.9788830755,459673.66184152185,31860.697888307554,45967.36618415218,778280.6407245974,77828.06407245973,0.47956993024859657,106.2023262943585,153.22455394717394,32.0
298.15,100000.0,899.9116772900213,809.6474256965181,3300000.0,1400.0,3135000.0,610.8408159429421,523.1564621588245,100000.0,604770.4856764715,793104.9799773432,188334.49430087174,1883344.9430087174,502588.76432352857,0.3747288194043993,320177.2079615539,465715.254901835,32017.720796155387,46571.5254901835,785892.4628633889,78589.2462863389,0.4769275883328718,106.72573598718463,155.23841830061167,33.0
298.15,100000.0,908.0709203402946,816.5827822892504,3400000.0,1400.0,3230000.0,606.8418962647402,518.7132180719335,100000.0,612970.5249419961,797123.8942539361,184153.36931194004,1841533.6931194004,494388.7250580039,0.3724869924781038,321686.77304784604,471615.81910807773,32168.677304784604,47161.58191080777,793302.5921559238,79330.25921559238,0.4740743540630412,107.22892434928201,157.20527303602591,34.0
298.15,100000.0,916.060505875181,823.3739299939039,3500000.0,1400.0,3325000.0,602.9914072502559,514.4348969447287,100000.0,621000.0584045569,800993.6357134929,179993.57730893593,1799935.7730893593,486359.1915954431,0.3700836345222315,323139.7086954123,477382.57900822803,32313.970869541234,47738.257900822806,800522.2877036403,80052.22877036403,0.4710155348464764,107.7132362318041,159.12752633607602,35.0
